title,date,company,location,area,salary,description
"Information, Communications & Technology Manager",25 Jan 2021,The Royal Agricultural Society of Victoria,Melbourne,Western Suburbs,"$140,000 - $159,999","The Royal Agricultural Society of Victoria (RASV), is a member-based, not-for-profit organisation that was formed in 1848 and the purpose is to celebrate agriculture, cultivate events and strengthen communities. ,Our Vision is for the RASV to be globally recognised as a seal of excellence, highly valued for: ,This role reports to the Executive Manager, Finance & Corporate Services and is responsible for,developing and implementing an ICT strategy encompassing the design, development, implementation and security of all systems, applications and infrastructure to maximise business outcomes.,The role will continue the execution of RASV's IT roadmap, which will focus on business enablement, appropriate cost improvement and risk mitigation (security). The key to this role is being visible with the business and building relationships within a complex organisation to ensure an excellent customer (internal and external) experience.,As part of the role, you will be required to work the 11 days of Show and be flexible to be available for some weekend/out of hours work when required.,Key responsibilities include:,Within the context of the role described above, the ideal applicant will be someone who has the following key experience/capabilities:,We offer a fun and supportive culture – all working onsite at Melbourne Showgrounds,We offer a wide range of benefits including onsite car parking, income protection, the opportunity to attend events at Melbourne Showgrounds and a great social calendar."
Field Application Scientist,21 Jan 2021,BGI International Pty Ltd,Sydney,"CBD, Inner West & Eastern Suburbs",Full Time,"MGI, the instrument manufacturing subsidiary under BGI Group, is committed to enabling effective and affordable healthcare solutions for all. Based 50000on its proprietary DNBseqTM technology, MGI’s multi-omics platforms include genetic sequencing, mass spectrometry and medical imaging. MGI has more than 1,000 employees worldwide and strives to be a leading innovator in life science technologies.,Position Title: MGI Field Application Scientist,Location: Sydney,Provide applications’ support (consultation, troubleshooting, and customer training) to MGI's customers in the assigned territory and collaborating across sales/marketing teams to develop, implement and manage business strategy.,To submit an application for this role, all applicants must supply the following documents: a Cover letter to address the selection criteria listed above and your Resume to bgi-australia@genomics.cn. You must have the legal right to work in Australia to apply for this job., position in,is also available, if you are interested, visit the link below for more details: https://bgi-australia.com.au/career-1"
Psychologist / Provisional Psychologist,29 Jan 2021,Astra King and Associates,Melbourne,Bayside & South Eastern Suburbs,Part Time,"An exciting opportunity exists for a Provisional Psychologist/ Psychologist  to come on board and join our team.,Astra King & Associates offers psychological services to individuals with neurodevelopmental conditions.  Most prevalent presentations include specific learning difficulties, autism disorder, attention deficit/ hyperactivity disorder, developmental disorders & intellectual disability, and associated comorbid conditions such as anxiety states, depression, other mood disturbances, behavioural difficulties such as oppositional defiant disorders, and personality arenas.,Services are offered across the lifespan, to individuals, couples and family groups. Services include assessment, interventions from a wide range of theoretical foundations including CBT, ACT, DBT, family therapy, developmental & attachment theory; and therapy including behaviour therapy, educational advice, and support to access relevant systems eg. NDIS supports. We offer a supportive environment and can offer supervision to complete an internship (5+1) or clinical registration program.  "
Senior Sofware Engineer (Fixed Term),28 Jan 2021,Teletrac Navman,Melbourne,Eastern Suburbs,Full Time," ,As a key member of our , ,, you will be based in Camberwell, Melbourne and be instrumental in our business transformation to become AI-first. You will work on our recently launched AI-Based Real-Time, Predictive Telematics Platform - TN360, that uses a scalable cloud ecosystem to connect data from sensors, cameras, mobile and third-party applications into real-time insights.,*12 months Maternity Leave Cover*,When you work with us, you'll have the opportunity to make a real impact on our customers’ everyday lives, driving their businesses forward with certainty. At , we uncover hidden opportunities and our connected fleet solutions make our customers, their customers, and communities better, safer, and more efficient. Here, you'll use your ability to its full potential to make a difference. You will surround yourself with an extraordinary team who will challenge you to ask questions, see more and be more. You will be successful and move forward with us because we believe in you and will provide you with opportunities to be great. We offer competitive pay and benefits, but more importantly, we offer an open and down-to-earth culture where you can be yourself. Together we're always on the move.,To break it down, as a ,you will:,At Teletrac Navman, we believe in your potential to make an impact. And we believe in giving you the opportunity, accountability and visibility to do just that.,So if , are a Software Engineer with 7+ years of experience in software design and development, seeking the next step in your career and interested in growing a platform, we want to hear from you!, ,The technical skills we see as critical to succeed in this position:,The soft skills that will help you:,You will enjoy:,If you like to have flexibility to bring ideas and test new tools, join our culture of continuous improvement and help our customers keep the world moving., "
Chemistry Teacher,5 Feb 2021,Queensland Academy Science Mathematicsand Technology,Brisbane,CBD & Inner Suburbs,Full Time,"QASMT is an academically selective entry, co-educational state school for highly-capable students in Years 7 to 12.  The Academy is an International Baccalaureate (IB) World School and is proud to uphold the values of an International Baccalaureate education.  Our focus is helping students reach their full potential. This is achieved through the rigorous academic programme, a focus on the holistic education of every student and the outstanding commitment of our staff.,In recent years, QASMT has undergone rapid expansion with the addition of Years 7 – 9 and a comprehensive building program. We will offer a full Year 7 – 12 program in 2021. QASMT currently offers the IB Diploma Programme (IB DP) as its core curriculum in Years 11 & 12. The IB DP is a demanding pre-university course of study assessed by external examinations. It has earned a reputation for rigorous learning and assessment, and as such gives IB DP holders access to the world's leading universities. Students in Years 7 – 10 study the IB Middle Years Programme (IB MYP) and a Diploma Preparation Program. QASMT is partnered with the University of Queensland who offer a range of enrichment programs to nurture our highly capable students. Please feel free to peruse our campus website for more information.,With the expansion of our school we are seeking high calibre, outstanding teachers, with an interest in evidence-based pedagogy & data informed teaching practice, to inspire our students and engage with our Academy community.  Experience with the International Baccalaureate programs is not essential. All teachers should be able to teach across Years 7 – 12 and an additional teaching area is an advantage. ,Please feel free to peruse our campus website for more information.,Applications for the above positions are now open and applicants are encouraged to apply. Please send your application to Ms Tanya Haggarty, Deputy Principal (Academic) at , [link removed]. Applications must include: "
"Business Analyst, Collection Products",19 Jan 2021,Cubane Consulting Pty Ltd,Sydney,North Shore & Northern Beaches,Full Time,"We have an exciting opportunity for a Business Analyst, Collection Products to join our team. Cubane is a specialist global consulting firm that delivers strategic analysis, benchmarking and insights to Executive teams in the Australian, New Zealand, UK and Canadian university sectors. Founded in Australia a decade ago, many top research and teaching universities are members of our unique UniForum benchmarking programme.,In this role, you will be reporting to the Manager, Collection Products, and will be researching, analysing and specifying new products and features to enhance our collection tools.  You will also be responsible for providing IT support for employees in our Sydney office.,This role is permanent full-time and is based in Cubane’s North Sydney office. You will be responsible for: ,Business Analyst,IT Support,You have:,Remuneration guide:  $75,000 - $85,000 base salary + superannuation,Please note, only shortlisted candidates will be contacted.,Recruiters, please do not contact this job poster., "
Surveyors - Senior and Assistant roles,17 Jan 2021,Infrastructure Nation Pty Ltd,Melbourne,CBD & Inner Suburbs,Full Time,"Infrastructure Nation is an international infrastructure project management and transport advisory company. We specialise in the feasibility, procurement and delivery of large-scale infrastructure including multi-billion dollar public-private partnerships and railway operation and maintenance contracts.,Working with leading client and contractor organisations our industry leading consultants provide value adding expertise in the following areas: business and project strategy, initiation and definition, transport advisory and infrastructure delivery partner services, project performance and control and project launch, execution and close. We work with trusted partners to bring technology based innovative solutions to perennial transport infrastructure challenges.,Step up, Step ,We’re ready, are you? Learn more about our business at www.infrastructurenation.com ,Available roles include Project Surveyors and Surveyor Assistants. Both roles will report directly to the Project Survey Manager. The survey team is responsible for the accurate capture of geospatial data throughout the project lifecycle, from the initial survey to inform design development, throughout the construction phase to ensure the accurate set out of the design to control, and finally to the as built surveys to demonstrate that the design has been achieved. These roles will generally be assigned to multidisciplinary rail projects that require a multitude of survey methodologies to be adopted, all of which shall employ the latest survey instrumentation and software.,Infrastructure Nation values and respects the different perspectives and experiences of our people. We aim to maintain the diversity of our team, leading to a range of different thinking, perspectives and ideas which create innovation that drives better business results. Our culture fosters a work environment where everyone feels included and can realise their full potential.,At Infrastructure Nation we understand that our greatest strength is our people. We aim to provide long term career options where we recognise the importance of flexibility and a healthy work-life balance. ,If you are interested in joining a team that delivers lasting infrastructure legacies, step up and join Infrastructure Nation. Please send your CV in Word format to careers@infrastructurenation.com.,Watch the clip below to find out more about working at Infrastructure Nation. "
Senior Engineer,26 Jan 2021,RESOURCE CORNER PTY LTD,Sydney,"CBD, Inner West & Eastern Suburbs","$87,000 - $89,000","Mindtree delivers technology services and accelerates growth for Global 1000 companies by solving complex business challenges with breakthrough technical innovations. Mindtree specializes in e-commerce, mobility, cloud enablement, digital transformation, business intelligence, data analytics, testing, infrastructure, EAI and ERP solutions. We are among the fastest growing technology firms globally with more than USD 500 Million in revenues, 200 clients and offices in 14 countries. We deliver amazing results: Helping 100 million passengers fly safely. Improving security and performance for one of the world's largest e-commerce stores. Unifying brand messaging and improving engagement for one billion consumers. For Mindtree, ""Welcome to possible"" is more than a slogan – it reflects our approach to every engagement. Our values – Collaborative Spirit, Unrelenting Dedication and Expert Thinking help us see possibilities where others see a full stop., 1A Homebush Bay Dr RHODES NSW 2138,Design sophisticated statements and using designer tools, e-Messaging, Interactive.,Develop quality end to end solution using CCM suit.,Responsible for identifying, investigating, and troubleshooting application servers.,Responsible for gathering requirement, design preparation and discussion with stakeholders.,Implementing solutions that align with the organization's business objectives.,Design and development of documents such as customer statements, letters and Claims.,Troubleshooting production technical issues.,Collaborating with Business Analysts in resolving issues and ensuring solutions.,Prioritizing business requirements and communicating plans with stakeholders for review and approval.,Managing customer expectations, leveraging technical experience and knowledge of industry roadmaps.,Responsible for providing guidance and assistance in the system project decision making process.,Critical examination of requirements and understanding operations and systems.,Build and maintain repository for deliverables, methodologies, and development guide/production support documents.,A team player as well as ability to work independently to meet pre-determined targets and deliverables timeline., ,Tertiary qualification in Computer Science or a related field – Essential.,Must have at least 3 years of development experience in designer tools.,Proficient in designing document and using designer tools.,Knowledge of eXtensible Markup Language (XML).,Comprehensive knowledge of problem analysis, design and programming techniques.,Strong analytical skills.,Possess excellent communication skills and ability to engage business stake holders for requirement gathering, prototyping and quick solutions.,Good interpersonal and client-handling skills, with the ability to manage expectations and explain technical detail.,A logical approach to problem solving.,Superannuation domain knowledge will be added advantage.,Hands on SQL knowledge.,Familiar with JIRA,This is an exciting opportunity to join in an innovative team in Rhodes 2138, this is a newly created Full Time Permanent position which focuses on customer solution strategy.,If you have a passion for leveraging the best from cutting edge technologies; have an eye for elegance, flexibility and efficiency in design; and are passionate about technology we want to hear from you!"
NPD Coordinator,18 Jan 2021,Retail Ready Operations Australia Pty Ltd,Sydney,Parramatta & Western Suburbs,Contract/Temp,"Retail Ready Operations Australia (RROA), is the first Coles' owned retail ready meat facility. Based at Erskine Park, our new site is highly automated, sophisticated and equipped to global best practice. We have a strong focus on team member safety, quality and continuous improvement whilst ensuring that customers' security of supply, quality, availability of product and value for money expectations are met.,Please note that only successful candidates will be contacted . Must have full Australian working rights."
PROGRAM DEVELOPMENT AND SUPPORT OFFICER - DISABILITY SERVICES,28 Jan 2021,Northside Enterprise Inc,Sydney,North Shore & Northern Beaches,"$70,000 - $76,000 + 9.5% Super + Salary Sacrifice","PROGRAM DEVELOPMENT AND SUPPORT OFFICER,DISABILITY SERVICES,We are an NDIS Service provider, a community-based organisation providing innovative training in pre-vocational, employment, community participation, independent living, recreational and social skills to adults who have an intellectual disability. We are seeking to fill the position of Program Development and Support Officer.,Program Development and Support Officer will perform a pivotal role with our organisation, undertaking quality individualised supports development and monitoring including effective development of employment skills training programs and activities, and work readiness, for people with intellectual and or multiple disabilities attending services provided by Northside and the development and maintenance of effective partnerships with community organisations, relevant service providers and employers., For further enquiries and/or Information package please contact:,INA VUKIC, CEO on 02-, or E-mail: ,Applications may be sent via above email address or placed in an envelope marked ""Private & Confidential"" and forwarded to: Ina Vukic, CEO, Northside Enterprise Inc., P.O. BOX 7511, Warringah Mall  NSW 2100, ,The employee shall comply with the Work,Health and Safety Act, Regulations, Codes of Practice and Northside Enterprise Inc. Work Health and Safety Policies and Procedures including Individual Service User Risk Assessment and Management and Program/Activity Risk Assessment and Management. , , ,Reliability, high time management skills, ,Person centred and outcome oriented ,Good communicative skills - both written and oral. ,Dedicated to disability inclusion – responsive to individual and community needs,Effective networking and community partnership engagement, , , , , , , , , , , , ,Effective development of employment skills training programs and activities, and work readiness, for people with intellectual and or multiple disabilities attending services provided by Northside.,Approving and monitoring the quality of individualised programs developed by Case Managers. ,Develop and maintain effective partnerships with community organisations, relevant service providers and employers.,Developing and tailoring activities and programs to meet participant individualised employment goals as per NDIS funding.,The delivery of quality and person-centred Case Management and training services to people with intellectual and/or multiple disabilities attending Northside programs and activities in a manner that is professional, sensitive to service users’ needs and changing needs and as contained in programs and goals developed for individual service users. In consultation with family/guardian/carer develop person centred service plans in accordance with client needs., , , "
"Team Leader, Customer Experience",20 Jan 2021,Bruker Pty Ltd,Melbourne,CBD & Inner Suburbs,Full Time,"The Team Leader Customer Experience for Customer Experience & Commercial Operations is responsible for managing a Customer-Facing team from countries in APAC, monitoring requests from our external and internal customers, working closely with teams within the Customer Experience & Commercial Operations organization to fulfill customer expectations"
Frac Operator,19 Jan 2021,NES Fircroft,Brisbane,Oil & Gas - Operations,Competitive,
Clinical Psychologist and/or Psychologist,26 Jan 2021,Neuro Health Solutions,Northern QLD,"Psychology, Counselling & Social Work",Full Time,"As part of the Neuro Health Solutions team, the Clinician will provide focussed psychological strategies tailored to meet the individual needs of clients across the lifespan within a private practice mental health care setting. ,Interest in development of knowledge and skill base in Neurotherapy assessment, application of Neuromodulation techniques, and also interest undertaking training in EMDR therapy is deemed necessary.,The position is a clinical treatment position that would look at provision of therapeutic Services in combination with neuromodulation. The position would require further training for Neuromodulation assessment and delivery and also EMDR training if the successful clinician does not possess such skills before employment. Such training would be funded by Neuro Health Solutions. ,A professional training allowance would be available each year to be used at the discretion of the clinician after the first year of employment. During the first year of employment, it would be expected that the successful applicant would be attending organised training in Neuromodulation assessment and delivery, and EMDR therapy.  , Assessment & Crisis Responses: ,Clinical Interventions: ,The following criteria must be met for consideration for this position: ,The Clinician will be expected to have:,Neuro Health Solutions is a locally owned and operated business by Innovation Psychology Pty Ltd and specializes in Neurotherapy and neuro modulation techniques and technologies integrated with psychotherapy. Neurotherapy focuses on the brain and its neurons and networks. In many conditions, intervention is needed to resolve both brain dysregulation and dysfunctional thoughts and feelings that emerge as a result. Neurotherapy and Psychotherapy work in an integrated partnership.,Both medication and neurotherapy work in changing the underlying process of the brain. Improvement of feelings, emotions and cognitive function is the aim of this process. Psychoactive medications are designed to produce temporary changes that may stop when medication is stopped or may lose eﬀectiveness with long term use.,Neurotherapy and neuromodulation are non-invasive options for mental health and also performance. By measuring and modulating activity we help patients/clients to achieve signiﬁcant and lasting therapeutic and performance outcomes.,We oﬀer a specialised diagnostic service as QEEG assessments, Midline Assessments and LENS mapping to assist choosing the right therapy and modulation approach. This allows a personalised treatment plan suited to the patient’s/client’s needs. When health care is personalised, there is a better outcome for the patient/client.,Neuro Health Solutions only employs state of the art and evidence-based techniques of neuromodulation, integrated, and embedded in a clinical and psychological setting.,We pride ourselves in providing personalised therapy and modulation by ﬁrstly identifying certain bio markers determined by a comprehensive QEEG analysis, and hence selecting the right treatment for the client/patient.,The formation of Neuro Health Solutions was inspired by the fact that many psychological and psychiatric disorders result from a dysregulation of the brain with it not being able to be treated or achieve a total resolution via standard psychological and psychotherapy therapies.,Neurotherapy and neuromodulation in our view oﬀers a viable option to resolving the underlying problem and causation. In many cases both psychological and neuromodulation forms of treatment are needed, and this is the approach oﬀered by Neuro Health Solutions.,Townsville is Northern Australia’s largest city, and the unofficial capital of North Queensland with a growing population of around 200,000. It is located on the north-eastern coast, wedged between the Great Barrier Reef, Paluma rainforest and outback Queensland. As the largest Queensland city outside of the south-east corner, Townsville is well connected via airport. The city is famous for its average 320 days of sunshine each year, access to island, reef, rainforest and outback, and glorious winters that encourage an outdoor lifestyle. Overall, it offers the opportunity and amenities of a big city but with an easier day-to-day lifestyle.https://www.townsvillenorthqueensland.com.au/ [link removed] "
Customer Service Officer,28 Jan 2021,Air-Met Scientific,Melbourne,Eastern Suburbs,Full Time,"With over 36 years of expertise, Air-Met Scientific is the market leader in the supply, service, rental and engineering of workplace and environmental monitoring solutions., ,We have an exciting opportunity for a proactive and experienced customer service officer to join our dynamic and highly successful operations team in our Nunawading head office full time.,Reporting to the Customer Relationship Manager, you will undertake various responsibilities including but not limited to:,To succeed in this role, the ideal candidate:, ,This fast-paced and busy position is an exciting and challenging opportunity for someone who likes to multi-task and has prior experience in customer service or a similar role.,Air-Met is a fun, family friendly equal opportunity employer and has a genuine interest in the recognition of their team members as well as their ongoing professional development. We have a supportive working environment with excellent working culture and this role presents a great opportunity for an exceptional candidate., ,Applications from recruitment agencies will not be accepted. Immediate start., ,Please ensure that you upload your CV and cover letter with your application. Applications without these supporting documents will not be accepted.,Applications close 26 February 2021. , , "
Frac Operator,19 Jan 2021,NES Fircroft,Adelaide,Oil & Gas - Operations,Competitive,
Environmental Officer - Infrastructure,19 Jan 2021,"Randstad - Construction, Property & Engineering",Wagga Wagga & Riverina,Government - State,Contract/Temp," ,This role will provide advice and assistance to staff and contractors on a range of environmental planning, environmental management, assessment and compliance requirements for road infrastructure projects across regional NSW., ,To apply for this role, send an up-to-date CV to , or call , to discuss the role in further detail., , , ,At Randstad, we are passionate about providing equal employment opportunities and embracing diversity to the benefit of all. We actively encourage applications from any background."
Safety & Process  Engineer,22 Jan 2021,BINGO INDUSTRIES,Sydney,Parramatta & Western Suburbs,Full Time,"Bingo is a fully integrated recycling and resource management company that provides solutions across the entire waste management supply chain in New South Wales and Victoria. ,Having listed on the ASX in 2017 and recent acquisitions, Bingo is at an exciting chapter of its growth journey. Together, we’re going to drive change, get inventive and shape the future of our industry. We’re going to make Australia waste free, for all of us.,The Safety Engineer’s responsibility is to plan, develop and implement safety programs and engineered solutions and technology to prevent losses due to injuries and property damage and ensure compliance with safety regulations and minimum safety standards,At BINGO we are committed to building a workforce that reflects the communities and customers we serve. We are a proud RAP organisation and we are committed to achieving an inclusive workforce. We strongly encourage applications from Aboriginal and Torres Strait Islanders and people from culturally diverse backgrounds."
ICT Business Analyst,19 Jan 2021,HR Sorted,Bairnsdale & Gippsland,Business/Systems Analysts,Full Time,"261111, ,Gibson’s Technologies is an Australian technology services and product engineering company; based in Rosedale in East Gippsland, Country Victoria. Gibson’s Technologies produces cloud based and mobile based business process management systems for the largest agri-tech companies of Australia that operate in the agriculture, logistics, engineering, logging, transport, stockfeed and material mining sectors.,Gibson’s are now looking to employ a suitably experienced ICT Business Analyst. ,You have a degree or post graduate degree: You must hold at least a bachelor's degree in computer science, computer engineering, or IT, or in a related discipline, preferably a post graduate degree. ,You’re experienced: You have at least 3 years of experience in delivering projects using the Agile product development methodologies of Scrum, XP, Kanban - an absolute must! (see key selection criteria). ,You also bring amazing - ,Key Duties: ,To all recruitment agencies: unsolicited CVs will not be accepted for this vacancy.,Applicants must have full Australian working rights. ,To apply:, "
Medical Device Investigators,20 Jan 2021,Pinpoint Talent,ACT,Pharmaceuticals & Medical Devices,Contract/Temp,
Environmental Scientist,27 Jan 2021,Epic Environmental,Sydney,"CBD, Inner West & Eastern Suburbs",Full Time,"Epic Environmental is a leading environmental consultancy that leverages team culture and expertise to deliver innovative outcomes for our clients and the environment. We define ourselves by providing exceptional technical solutions while supporting our staff to challenge themselves and accelerate their careers. ,Epic is a well-respected, client-focused services firm working across the mining and resources, energy and renewables, industrial, construction, infrastructure and property markets. We offer industry leading environmental solutions to national and selected international markets. Epic’s range of services include environmental planning and statutory approvals, environmental management and compliance, contaminated site assessment including remediation and management of contaminated soil, groundwater and sediment, property due diligence reporting, landfill design and monitoring, for the private sector as well as all levels of government. ,We offer an exciting opportunity to develop and fast -track your career by working in an environment where you are encouraged to challenge yourself to think outside the box. If you are a Project to Senior level Environmental Scientist / Engineer with 3-10 years’ experience,we’d like to hear from you!,To be considered Epic material you will need to be:,https://au.linkedin.com/company/epic-environmental-pty-ltd,Our,fast-growing Sydney office is looking for a Project to Senior level Environmental Scientist / Engineer in Contaminated land and environmental management.,Under the direction of our Team Leaders and Principal staff and NSW EPA accredited Contaminated Land Auditor you will be responsible for the delivery of contaminated land management, remediation projects as well as working directly supporting CLM Audit projects. Core tasks will include proposal writing, audit review, field investigation and data gathering with an emphasis on data interpretation and analysis, research literature & regulatory requirements, project management and writing internal and client correspondence and reports. Direct experience in – hydrogeology, NSW EPA Audits, State Significant Infrastructure projects, complex site assessment and remediation including managing asbestos would present a clear advantage.,To be considered for this position, you will need to possess the following:,If you think you are Epic material:,If you have any questions call , for a confidential discussion. "
Laboratory Technician,19 Jan 2021,CareDx Pty Ltd,Perth,Fremantle & Southern Suburbs,"$50,000 - $57,000 + Parking + Annual Bonus","https://www.caredx.com/,The position includes the manufacture and QC testing of HLA typing kits for the purpose of commercial distribution.,This position assumes the role of someone who is competent in laboratory techniques and safety requirements, and is able to perform the necessary experimental setup procedures needed to analyse HLA loci in DNA samples.,The position also includes the maintenance and calibration of laboratory equipment. In all instances these activities are undertaken under the supervision of a scientist or the Production Manager., "
Clinical Research Associate 2 / Melbourne VIC 3000,19 Jan 2021,IQVIA,Melbourne,CBD & Inner Suburbs,Full Time,"We’ve changed, can you? Our Industry is like no other, with continued advances in Healthcare we evolve as we grow.  Maintaining our role as a Global Leader requires unique employees. This isn’t your every day job. At the heart of what we do true passion for better patient outcomes drives us. As a subject matter expert you know what the role of a CRA involves, and we’ll offer you the opportunity to develop your career. In 2018, 41% of our jobs were successfully filled by our internal talent.,A competitive base salary, generous car allowance, additional health allowance, annual bonus, flexible working, lifestyle, picnic and community days.,You will have the opportunity to build a career in a supportive environment, work with Industry leading Pharmaceutical companies and inspiring thought leaders. ,We celebrate your success, we celebrate our learning's, we celebrate Healthcare. This is just the beginning. Want to know more then please reach, "
Targeted GP Pharmaceutical Representative SA/WA,20 Jan 2021,EvansPetersen Healthcare Pty Ltd,Adelaide,Pharmaceuticals & Medical Devices,Full Time,
Senior Brand Manager,18 Jan 2021,Imperial Brands Australasia,Sydney,North West & Hills District,Full Time,"Despite COVID-19, we have a strong pipeline of job opportunities and we are still hiring. Many of our employees are now safely returning to work. We're operating with an increased focus on health and safety on-site. We're finding new ways of working in response to COVID-19 and our workforce is still delivering the best capability.,The key focus will be to identify and define brand strategy, develop and execute high-impact, relevant brand plans to ensure brand offer remains compelling for the respective portfolio. The plans must deliver to commercial goals in a creative and innovative manner, whilst conforming to legislation.,You'll have the chance to learn from some of the brightest minds across our organisation as you grow your career – through your ideas, energy and expertise. A company culture that thrives on a positive team environment and the focus on every role contributing to sustainable success. The Senior Leadership Team values the opinion of its employees and takes measures to consistently ensure every voice is heard.,Effective communication with all internal and external stakeholders to ensure the strategy and execution of plans are implemented efficiently, adapt communication approach to meet specific customer needs and operational deadlines. This will involve superior execution to achieve business objectives.,Reporting to the Consumer Brand Manager, this role will develop and execute brand plans to ensure that the brand connections remains compelling, creative and innovative even in a plain Packaging environment, whilst delivering upon the greater commercial goals. Take ownership of all aspects of brand communications. Key responsibilities include:,Skills and Experience:,For us that means ensuring that the voices and talents of all employees are valued and that everyone has a sense of belonging. It also means providing a family friendly, flexible and supportive place to work. , We are looking for an enthusiastic, commercially astute executive with an ability to translate reporting and analysis into actionable insights to support decision making. Well-developed communication skills, ability to draw insights from data and develop collaborative solutions and challenge the status quo. ,At Imperial Brands, we’re a truly international company driven by a strong challenger culture. We’re an inclusive, innovative and responsible FTSE30 FMCG business widely recognised on the global stage. We generate over £30bn revenue and employ over 30,000 like-minded achievers in markets worldwide. We’re driven by a common purpose: to create something better. Alongside maximising our respected brands, we’re increasingly focused on developing a leading portfolio of next generation products with lower health risks than regular tobacco products, all underpinned by leading edge science, high-quality innovation and high standards of governance. Our entrepreneurial spirit, ability to challenge the status quo and think on our feet and take ownership in an engaging and supportive environment are the keys to our success and that of the thousands of people who work here. Here You Can., Interested applicants should apply with their cover letter and CV highlighting their suitability for the role. Sponsorship is NOT available for this role.,We are an inclusive employer of choice and passionate about providing equal employment opportunities and embracing diversity to the benefit of all. We actively encourage applications from any background. All successful candidates will need to undergo a pre-employment medical check and will be asked to present their working rights for Australia/ New Zealand."
Financial Manager,27 Jan 2021,Ecoscape,Perth,Fremantle & Southern Suburbs,Part Time,"Ecoscape is an award-winning well-established consulting firm that provides environmental science, landscape architecture and spatial planning services to a diverse client base including the energy and resource sector, local and state governments and property development.  We have friendly and professional team with excellent staff retention.  You will also be part of a majority employee-owned company, dedicated to client and staff satisfaction, excellence and innovation. ,Ecoscape is seeking an enthusiastic and self-motivated Financial Manager to join our team. To be the successful candidate you will have at least five years’ experience.  You will also have an excellent working knowledge of ASIC compliance, Tax Law, GST and BAS and the ability to communicate this information to our Directors and Board. You will be working closely with our Administration team and reporting to our Directors and Board. Ecoscape offers a friendly personal atmosphere with the opportunity to work in a growing and successful small business. The role will be based at our North Fremantle office. We are looking for someone who demonstrates, excellent attention to detail, an alignment and an understanding of our values and has the qualifications, skills, and experience outlined below.,To apply please submit a current CV, at least two referees from a previous employer / client in a similar role and cover letter that includes your salary expectations to mail@ecoscape.com.au [link removed]."
Project Consultant - HRMS,21 Jan 2021,BIPO Service Australia Pty Ltd,Sydney,"CBD, Inner West & Eastern Suburbs",Contract/Temp,"At ,, we help businesses transform and digitalise, enabling them to thrive and realise their growth ambitions. Around the world, we support over 1,600 clients across 87 countries and regions with a new generation of HR solutions. Our comprehensive suite of service products from our award-winning cloud and mobile-based HR Management System (HRMS), multi-country payroll calculation, overseas landing services, Business Process Outsourcing (BPO) to attendance automation provide clients with a multi-regional, integrated and seamless user experience., ,The specific responsibilities that relate to this role include but are not limited to:, , ,Fresh graduate or candidate with 1+ year experience would be considered for the Associate Project Consultant Role., , "
Medical receptionist & CPAP therapist,23 Jan 2021,Bendigo Sleep Lab,"Bendigo, Goldfields & Macedon Ranges",Other,Award wage of medical receptionist.,"Mon - Thu 9am to 5pm, Fri 9am to 1pm.,At Bendigo Sleep Lab we want people to “Awaken their best” by offering solutions to help people get the best night’s sleep possible.,Our team is small, and our industry is forever evolving, so we’re not a fan of “not my role” type of behaviour - we’re a team, we help each other, and our clients are at the heart of what we do.,​,To really get us excited, you will be driven to learn new skills and keen to secure a role which offers exposure to an exciting industry that can offer an exciting new career.,Joining Bendigo Sleep Lab is more than saying “yes” to making the world a healthier place. It’s discovering a career that’s challenging, supportive and inspiring. Where a culture driven by excellence helps you not only meet your goals, but also create new ones. Our hope is that each day you’ll uncover a new reason to love what you do. If this sounds like the workplace for you, apply now by emailing , with a cover letter and CV., "
Coordinator ,28 Jan 2021,Investing In Our Youth,Bunbury & South West,"Child Welfare, Youth & Family Services",Full Time,"Investing In Our Youth has a rare opportunity for a talented energetic Coordinator to coordinate the Child and Parent Centre - Carey Park.,Join us as the Coordinator to work with the school community to facilitate early childhood and family focused services. Form strong relationships with families and stakeholders. ,With a passion for early years go beyond the boundaries of education, health, community, government and non-government sectors.,This position is for 37.5 hours per week.,The contract is dependent on funding ,The Coordinator is an ambassador of Investing In Our Youth and will exemplify our culture and values. These include;,Investing In Our Youth is a dynamic local not-for-profit community based organisation that promotes the healthy development of children and young people. It does this by working in partnership with other community service organisations, the business sector, government and the wider community.,The programs run by Investing In Our Youth are;,The POD - providing support and resources to the education and care sector. ,HIPPY Bunbury-Collie a free two year early learning program empowering parents and carers to be their child’s first teacher.,Child and Parent Centres located in Carey Park and Collie these centres are family friendly offering programs and services to parents to help children learn in their early years.,RYDE – providing young people the opportunity to complete their 50 hours of supervised driving experience with one of our volunteer mentors.,End2End – the opportunity for young people in Withers the area to obtain their license from beginning to end.,Investing In Our Youth is managed by a voluntary board.  More information is available at www.investinginouryouth.com.au [link removed].,We are an Equal Opportunity Employer and strongly encourage all people, including Aboriginal and Torres Strait Islander people to apply.,Apply for your next career by requesting an application package from Julia.poole@investinginouryouth.com.au [link removed] ,Closing date for applications is Sunday 14th February 2021"
